Dataset,Method,Shape Parameter (k),Scale Parameter (gamma),Num Data Points,AIC,BIC,KS Statistic,KS p-value,Mean,CI_95_Low,CI_95_High,Pct_10_15,Pct_GT_25
dublin_airport,mle,1.99546,11.63770,689282,349771.21636,349789.13259,0.04214,0.00000,10.31448,1.84401,22.39047,0.27880,0.01382
dublin_airport,mm,1.97912,11.55291,689282,349909.28190,349927.19813,0.05565,0.00000,10.24207,1.80511,22.35384,0.27586,0.01382
dublin_airport,ls,2.10860,12.05684,689282,350247.84708,350265.76332,0.07360,0.00000,10.67909,2.10453,22.41641,0.29612,0.01377
cork_roches_point,mle,1.97166,14.04390,506424,273595.72160,273613.02107,0.04221,0.00000,12.45081,2.17208,27.25799,0.27529,0.04967
cork_roches_point,mm,1.89967,13.52723,506424,274062.75566,274080.05513,0.07266,0.00000,12.00948,1.95154,26.97324,0.26923,0.04551
cork_roches_point,ls,2.01914,13.97125,506424,273689.11399,273706.41346,0.03963,0.00000,12.38141,2.25557,26.71431,0.28252,0.04440
cork_airport,mle,2.01165,11.72440,551366,279414.84596,279432.31568,0.05266,0.00000,10.39251,1.87238,22.52100,0.28198,0.01489
cork_airport,mm,1.82029,10.72821,551366,281083.84461,281101.31433,0.10648,0.00000,9.54390,1.41787,22.10322,0.24835,0.01362
cork_airport,ls,2.13495,11.85353,551366,279767.92746,279785.39717,0.07242,0.00000,10.50082,2.10242,21.94494,0.29980,0.01158
westmeath_mullingar,mle,1.85810,8.44330,437638,202369.52123,202386.52885,0.05286,0.00000,7.50151,1.16021,17.11384,0.19089,0.00151
westmeath_mullingar,mm,1.90216,8.65829,437638,202548.79819,202565.80581,0.06965,0.00000,7.68675,1.25168,17.25411,0.20101,0.00153
westmeath_mullingar,ls,1.74786,8.39692,437638,202616.58550,202633.59312,0.06543,0.00000,7.48486,1.01776,17.81754,0.18490,0.00277
galway_athenry,mle,1.93593,8.22278,130787,59191.55880,59206.14997,0.06603,0.00000,7.29719,1.22602,16.21520,0.18605,0.00057
galway_athenry,mm,1.80906,7.75489,130787,59447.00539,59461.59655,0.10100,0.00000,6.90759,1.02078,16.09910,0.16524,0.00074
galway_athenry,ls,1.83402,8.02041,130787,59272.92090,59287.51206,0.07081,0.00000,7.13358,1.07691,16.44420,0.17589,0.00084
donegal_finner,mle,1.89294,11.94540,160807,83079.80405,83094.80802,0.05030,0.00000,10.60762,1.69679,23.94552,0.26698,0.02429
donegal_finner,mm,1.77462,11.37635,160807,83350.15159,83365.15556,0.07857,0.00000,10.12998,1.43353,23.81039,0.24558,0.02443
donegal_finner,ls,1.84014,11.67421,160807,83126.84348,83141.84745,0.04953,0.00000,10.37932,1.56782,23.88495,0.25848,0.02415
kerry_valentia_observatory,mle,1.84587,11.64378,684397,354660.58503,354678.48703,0.05916,0.00000,10.34711,1.57839,23.70545,0.25898,0.02226
kerry_valentia_observatory,mm,2.16023,13.32557,684397,359837.61762,359855.51961,0.12596,0.00000,11.80524,2.42665,24.45245,0.29890,0.02919
kerry_valentia_observatory,ls,1.78652,12.11017,684397,355239.06268,355256.96468,0.04917,0.00000,10.78583,1.52852,25.36548,0.25357,0.03334
