Dataset,Month,Method,Shape Parameter (k),Scale Parameter (gamma),Num Data Points,AIC,BIC,KS Statistic,KS p-value,Mean,CI_95_Low,CI_95_High,Pct_10_15,Pct_GT_25
dublin_airport,January,mle,1.9711,13.59327,59615,383441.06628,383459.05760,0.03294,0.00000,12.05025,2.10532,26.35918,0.28231,0.03603
dublin_airport,January,mm,2.0157,13.88368,59615,383554.35484,383572.34617,0.05053,0.00000,12.30242,2.24099,26.53031,0.28606,0.03791
dublin_airport,January,ls,2.0351,14.05302,59615,383711.01983,383729.01116,0.06001,0.00000,12.45068,2.30809,26.68871,0.28711,0.03958
dublin_airport,February,mle,2.0141,13.38635,53646,341627.52324,341645.30357,0.03342,0.00000,11.86190,2.15749,25.59356,0.28930,0.02964
dublin_airport,February,mm,1.9898,13.24690,53646,341653.87460,341671.65493,0.04223,0.00000,11.74089,2.08800,25.52797,0.28680,0.02905
dublin_airport,February,ls,2.1056,13.81527,53646,341920.59428,341938.37460,0.06216,0.00000,12.23589,2.41053,25.67967,0.29821,0.03061
dublin_airport,March,mle,2.0101,12.84026,58779,369588.81113,369606.77421,0.04008,0.00000,11.37837,2.06205,24.58082,0.29116,0.02201
dublin_airport,March,mm,2.0336,13.00178,58779,369626.29496,369644.25804,0.04957,0.00000,11.51942,2.13259,24.70392,0.29382,0.02284
dublin_airport,March,ls,2.0770,13.22320,58779,369819.58029,369837.54337,0.06373,0.00000,11.71272,2.25241,24.78988,0.29865,0.02342
dublin_airport,April,mle,1.9560,11.50456,56565,345462.68036,345480.56665,0.03957,0.00000,10.20043,1.75649,22.42260,0.28124,0.01042
dublin_airport,April,mm,1.9566,11.51799,56565,345462.95377,345480.84006,0.04031,0.00000,10.21228,1.75942,22.44482,0.28141,0.01051
dublin_airport,April,ls,2.0522,11.93558,56565,345843.72215,345861.60844,0.07181,0.00000,10.57352,1.99000,22.54673,0.29659,0.01046
dublin_airport,May,mle,1.9649,10.66690,58194,346274.34357,346292.28664,0.04469,0.00000,9.45672,1.64244,20.72761,0.27271,0.00484
dublin_airport,May,mm,1.9581,10.63463,58194,346276.65649,346294.59957,0.04718,0.00000,9.42888,1.62690,20.71250,0.27138,0.00483
dublin_airport,May,ls,2.0863,11.08833,58194,346793.28797,346811.23105,0.07977,0.00000,9.82134,1.90376,20.72929,0.29375,0.00428
dublin_airport,June,mle,2.0094,10.02970,55925,324331.82784,324349.69137,0.05150,0.00000,8.88786,1.60964,19.20490,0.26416,0.00190
dublin_airport,June,mm,2.0329,10.11583,55925,324352.89507,324370.75860,0.04743,0.00000,8.96255,1.65812,19.22505,0.26868,0.00185
