Dataset,Month,Shape Parameter (k),Scale Parameter (gamma),Method,Number of Data Points
dublin_airport,January,1.9682,13.5511,mle,60264
dublin_airport,January,2.0785,14.4700,mm,60264
dublin_airport,January,2.0151,14.0914,ls,60264
dublin_airport,February,2.0112,13.3458,mle,54241
dublin_airport,February,2.0602,13.8731,mm,54241
dublin_airport,February,2.0845,13.8511,ls,54241
dublin_airport,March,2.0068,12.7958,mle,59520
dublin_airport,March,2.1120,13.6749,mm,59520
dublin_airport,March,2.0530,13.2642,ls,59520
dublin_airport,April,1.9512,11.4436,mle,57600
dublin_airport,April,2.0530,12.2997,mm,57600
dublin_airport,April,2.0132,11.9863,ls,57600
dublin_airport,May,1.9589,10.5972,mle,59520
dublin_airport,May,2.0782,11.5345,mm,59520
dublin_airport,May,2.0341,11.1456,ls,59520
dublin_airport,June,2.0014,9.9473,mle,57600
dublin_airport,June,2.2043,11.2874,mm,57600
dublin_airport,June,2.0809,10.6163,ls,57600
dublin_airport,July,2.0713,9.8841,mle,59520
dublin_airport,July,2.3292,11.3876,mm,59520
dublin_airport,July,2.1499,10.5414,ls,59520
dublin_airport,August,1.9747,9.7999,mle,59520
dublin_airport,August,2.0536,10.5718,mm,59520
dublin_airport,August,2.0644,10.3491,ls,59520
dublin_airport,September,1.9363,10.6804,mle,57600
dublin_airport,September,1.9704,11.1841,mm,57600
dublin_airport,September,2.0197,11.1468,ls,57600
dublin_airport,October,1.9730,11.4049,mle,59520
dublin_airport,October,2.0320,12.0061,mm,59520
dublin_airport,October,2.0579,11.9053,ls,59520
dublin_airport,November,2.0163,12.2523,mle,57600
dublin_airport,November,2.0132,12.4698,mm,57600
dublin_airport,November,2.1361,12.6521,ls,57600
dublin_airport,December,2.0177,13.2601,mle,59520
dublin_airport,December,2.0442,13.6208,mm,59520
dublin_airport,December,2.1038,13.7045,ls,59520
cork_roches_point,January,1.8441,15.2560,mle,49725
cork_roches_point,January,2.1563,20.1236,mm,49725
cork_roches_point,January,0.6070,20.8321,ls,49725
cork_roches_point,February,1.9271,15.2090,mle,45332
cork_roches_point,February,2.2537,20.4567,mm,45332
cork_roches_point,February,0.4711,22.1413,ls,45332
cork_roches_point,March,1.9804,14.4472,mle,49738
cork_roches_point,March,2.3966,20.1431,mm,49738
cork_roches_point,March,0.4850,21.0666,ls,49738
cork_roches_point,April,1.9014,12.9265,mle,48085
cork_roches_point,April,2.1290,16.5990,mm,48085
cork_roches_point,April,0.5356,18.2856,ls,48085
cork_roches_point,May,1.9539,12.4256,mle,49805
cork_roches_point,May,2.3046,16.7799,mm,49805
cork_roches_point,May,0.5056,18.7287,ls,49805
cork_roches_point,June,1.9800,11.7178,mle,48202
cork_roches_point,June,2.4540,16.6116,mm,48202
cork_roches_point,June,0.5184,17.3020,ls,48202
cork_roches_point,July,1.9697,11.3829,mle,49783
cork_roches_point,July,2.4894,16.4376,mm,49783
cork_roches_point,July,0.5048,16.2818,ls,49783
cork_roches_point,August,1.9273,11.6509,mle,49657
cork_roches_point,August,2.2988,15.9025,mm,49657
cork_roches_point,August,0.5038,16.7772,ls,49657
cork_roches_point,September,1.8856,12.3093,mle,48052
cork_roches_point,September,2.1062,15.7894,mm,48052
cork_roches_point,September,0.4948,18.5507,ls,48052
cork_roches_point,October,1.9156,13.7644,mle,49702
cork_roches_point,October,2.1370,17.5511,mm,49702
cork_roches_point,October,0.5568,20.1296,ls,49702
cork_roches_point,November,1.8683,14.2848,mle,48119
cork_roches_point,November,2.1109,18.3295,mm,48119
cork_roches_point,November,0.5464,21.1807,ls,48119
cork_roches_point,December,1.9295,15.5085,mle,50506
cork_roches_point,December,2.2527,20.5299,mm,50506
cork_roches_point,December,0.5602,23.0556,ls,50506
kildare_mullingar,January,1.7347,9.6493,mle,38681
kildare_mullingar,January,1.8269,10.3914,mm,38681
kildare_mullingar,January,1.6242,9.7648,ls,38681
kildare_mullingar,February,1.8544,9.7550,mle,34585
kildare_mullingar,February,2.0497,10.9788,mm,34585
kildare_mullingar,February,1.7842,10.0662,ls,34585
kildare_mullingar,March,1.8634,9.6690,mle,37944
kildare_mullingar,March,2.0651,10.8714,mm,37944
kildare_mullingar,March,1.7667,9.8905,ls,37944
kildare_mullingar,April,1.8866,8.4147,mle,36718
kildare_mullingar,April,2.1867,9.9514,mm,36718
kildare_mullingar,April,1.7498,8.6616,ls,36718
kildare_mullingar,May,1.8888,7.9792,mle,37944
kildare_mullingar,May,2.0285,8.8229,mm,37944
